#,subsection,name,original_definition,display_definition,type,what_do_do,default,valid_values,importance
1,How should we connect to your data?,name,Sets a name for your connector.,Sets a name for your stream processor.,string,REQUIRE,,A string at most 64 characters long,high
64,Additional Configs,value.converter.use.optional.for.nonrequired,Whether to set non-required properties to be optional. Applicable for JSON_SR Converters.,,boolean,IGNORE,,,low
65,Additional Configs,value.converter.wrapper.for.nullables,Whether nullable fields should use primitive wrapper messages. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
66,Additional Configs,value.converter.wrapper.for.raw.primitives,Whether a wrapper message should be interpreted as a raw primitive at root level. Applicable for Protobuf Converters.,,boolean,IGNORE,,,low
67,Additional Configs,errors.tolerance,"Use this property if you would like to configure the connector's error handling behavior. WARNING: This property should be used with CAUTION for SOURCE CONNECTORS as it may lead to dataloss. If you set this property to 'all', the connector will not fail on errant records, but will instead log them (and send to DLQ for Sink Connectors) and continue processing. If you set this property to 'none', the connector task will fail on errant records.","Use this property if you would like to configure the connector's error handling behavior.  If you set this property to 'all', the connector will not fail on errant records, but will instead store them and their error messages in your Atlas cluster in a collection named dlq.<your-stream-processor-name>.  If you set this property to 'ignore', the connector will discard errant records and keep processing new ones.",string,"ALLOW all, ignore",all,,low
68,Additional Configs,key.converter.key.subject.name.strategy,How to construct the subject name for key schema registration.,,string,DISALLOW,TopicNameStrategy,,low
69,Additional Configs,key.converter.replace.null.with.default,"Whether to replace fields that have a default value and that are null to the default value. When set to true, the default value is used, otherwise null is used. Applicable for JSON Key Converter.",,boolean,DISALLOW,TRUE,,low
70,Additional Configs,key.converter.schemas.enable,"Include schemas within each of the serialized keys. Input message keys must contain schema and payload fields and may not contain additional fields. For plain JSON data, set this to false. Applicable for JSON Key Converter.",,boolean,DISALLOW,FALSE,,low
71,Additional Configs,value.converter.decimal.format,Specify the JSON/JSON_SR serialization format for Connect DECIMAL logical type values with two allowed literals: BASE64 to serialize DECIMAL logical types as base64 encoded binary data and NUMERIC to serialize Connect DECIMAL logical type values in JSON/JSON_SR as a number representing the decimal value.,,string,IGNORE,BASE64,,low
72,Additional Configs,value.converter.flatten.singleton.unions,Whether to flatten singleton unions. Applicable for Avro and JSON_SR Converters.,,boolean,IGNORE,FALSE,,low
73,Additional Configs,value.converter.ignore.default.for.nullables,"When set to true, this property ensures that the corresponding record in Kafka is NULL, instead of showing the default column value. Applicable for AVRO,PROTOBUF and JSON_SR Converters.",,boolean,IGNORE,FALSE,,low
74,Additional Configs,value.converter.reference.subject.name.strategy,Set the subject reference name strategy for value. Valid entries are DefaultReferenceSubjectNameStrategy or QualifiedReferenceSubjectNameStrategy. Note that the subject reference name strategy can be selected only for PROTOBUF format with the default strategy being DefaultReferenceSubjectNameStrategy.,,string,IGNORE,DefaultReferenceSubjectNameStrategy,"DefaultReferenceSubjectNameStrategy, QualifiedReferenceSubjectNameStrategy",low
75,Additional Configs,value.converter.replace.null.with.default,"Whether to replace fields that have a default value and that are null to the default value. When set to true, the default value is used, otherwise null is used. Applicable for JSON Converter.",,boolean,DISALLOW,TRUE,,low
76,Additional Configs,value.converter.schemas.enable,"Include schemas within each of the serialized values. Input messages must contain schema and payload fields and may not contain additional fields. For plain JSON data, set this to false. Applicable for JSON Converter.",,boolean,DISALLOW,FALSE,,low
77,Additional Configs,value.converter.value.subject.name.strategy,Determines how to construct the subject name under which the value schema is registered with Schema Registry.,,string,IGNORE,TopicNameStrategy,,low
78,Auto-restart policy,auto.restart.on.user.error,Enable connector to automatically restart on user-actionable errors.,,boolean,IGNORE,TRUE,,medium
79,Configuration File,connector.class,Identifies the connector plugin name.,Identifies the connector plugin name.  MongoDbAtlasSource streams data from MongoDB to Kafka topics.  MongoDbAtlasSink streams data from Kafka topics to MongoDB.,string,REQUIRE,,,high
